Neil Gorsuch|To some lawyers, all facts are created equal.
Anonymous|Did you close that part of your life, Drizzt Do'Urden? And now are you afraid because it might again be opened?"Drizzt shook his head without hesitation, but it was an unconvincing movement. He paused a long while, they sighed deeply. "I am disappointed," the drow admitted. "In myself, for mt selfishness. I want to see Zaknafein again, to stand beside him and learn from him and listen to his words." Drizzt looked up at Cadderly, his expression truly serene. "But I remember the last time I saw him," he said, and he told Cadderly then of that final meeting.
Jodi Lynn Anderson, The Secrets of Peaches|And his eyes frighten me, too. They're the eyes of an old man, an old man who's seen so much in life that he no longer cares to go on living. They're not even desperate... just quiet and expectant, and very, very lonely, as if he were quite alone of his own free choice.
Paul   Newman|Commander! Sir! Wake up!"Jack surfaced from sleep, wondering who the commander was and wishing he'd respond so he could go back to sleep - until he remembered that he was the commander.
Catherine Anderson, Summer Breeze|A ghost from her past, part of a world to which she no longer belonged but had never stopped missing.
David Zindell, The Broken God|Before, you are wise; after, you are wise. In between you are otherwise
Cindy Gerard, To the Brink|People will promise you the moon, offer you the stars, but in the end, the only heavenly body you can truly count on is your on!
Kevin Hearne, Trapped|Billy tries to imagine the vast systems that support these athletes. They are among the best-cared for creatures in the history of the planet, beneficiaries of the best nutrition, the latest technologies, the finest medical care, they live at the very pinnacle of American innovation and abundance, which inspires an extraordinary thought - send them to fight the war! Send them just as they are this moment, well rested, suited up, psyched for brutal combat, send the entire NFL! Attack with all our bears and raiders, our ferocious redskins, our jets, eagles, falcons, chiefs, patriots, cowboys - how could a bunch of skinny hajjis in man-skits and sandals stand a chance against these all-Americans? Resistance is futile, oh Arab foes. Surrender now and save yourself a world of hurt, for our mighty football players cannot be stopped, they are so huge, so strong, so fearsomely ripped that mere bombs and bullets bounce off their bones of steel. Submit, lest our awesome NFL show you straight to the flaming gates of hell!
ShahenshahHK|I was going to make him proud of the man I would become. I was finally going to chart my own course, rattle the stars, and then… Then I would deserve it.”“Deserve what?”“The way he used to look at me, like I was a hero, or something close to one.
Agatha Christie, Hercule Poirot's Christmas|The door opens with a rusted jingle, and an animatronic Santa insults my moral virtue three times. Ho, ho, ho.
Philip K. Dick, Philip K. Dick: The Last Interview and Other Conversations|We must content ourselves with the mystery, the absurdity, the contradictions, the hostility, but also the generosity that our environment offers us. It's not much, but it's always better than the deadly, defeatist certainty of the paranoid.
Noam Chomsky, Free Market Fantasies: Capitalism in the Real World|What happens if fully rational politicians compete for the support of irrational voters — specifically, voters with irrational beliefs about the effects of various policies? It is a recipe for mendacity.
Hillary Rodham Clinton|If you don't believe in the things you're doing, the answer isn't fooling yourself into thinking you believe it. If you don't believe in what you're doing, then you just shouldn't be doing it.
Siegfried Sassoon, Memoirs of a Fox-Hunting Man|If you miss your bus, just start walking.
Sunday Adelaja|It must be noted however, that there were other Europeans that travelled to other parts of the earth, but because they did not take with them the same Protestant culture of dignity of labour, they did not record the same level of success, growth and development as the early Protestant immigrants had done.
Frank Luntz|There are people still in the Republican Party that I believe practice the communication of anger, of disappointment, of regret, of pain, of sorrow, of suffering. That's not what the American people want to hear.
Paul Broun|So I think democracy, in the long-term, in our countries will survive if it comes to be associated with leadership, will not survive if democracy plus media brings to us more and more followship rather than leadership.
Maya Van Wagenen, Popular: Vintage Wisdom for a Modern Geek|This is the time to remember that I’m the protagonist in my own story, facing every challenge with grace and wit.
Alberto Caeiro, The Keeper of Sheep|Yes, this is what my senses alone have learned:—Things don’t have significance: they only have existence.Things are the only hidden meaning of things.
C.S. Lewis, Prince Caspian|Like Dinah says, “We can only play the cards we’ve been dealt. It doesn’t do any good to wish about things you can’t change.
Fyodor Dostoyevsky|Though I do not believe in the order of things, still the sticky little leaves that come out in the spring are dear to me, the blue sky is dear to me, some people are dear to me, whom one loves sometimes, would you believe it, without even knowing why; some human deeds are dear to me, which one has perhaps long ceased believing in, but still honors with one's heart, out of old habit..."--Ivan Karamazov
Auliq-Ice|Those that dare not to dream big are cowards, for they fear to expose the already great potentials embedded inside of them.
Thich Nhat Hanh, How to Love|Meditation consists of generating three kinds of energy: mindfulness, concentration, and insight. These three energies give us power to nourish happiness and take care of our suffering. Suffering may be there. But with the energy of mindfulness, concentration, and insight, we can embrace and take care of that suffering and nourish happiness at the same time.
Lisa Kleypas, Tempt Me at Twilight|I don’t know what circumstances occurred in your life for you to build such a strong brick wall around your heart, but I do intend to tear it down." ~Cole
Lailah Gifty Akita|Love is the mighty force of mind, soul and body.
Charles Haddon Spurgeon, Morning and Evening, Based on the English Standard Version|Kissinger would probably be outraged even if he reread his own memoirs, on the grounds that they are not favorable enough.
Friedrich A. Hayek, The Road to Serfdom|Under capitalism the common man enjoys amenities which in ages gone by were unknown and therefore inaccessible even to the richest people. But, of course, these motorcars, television sets and refrigerators do not make a man happy. In the instant in which he acquires them, he may feel happier than he did before. But as soon as some of his wishes are satisfied, new wishes spring up. Such is human nature.
Debasish Mridha|A fool thinks that he can cheat others, but a prudent man knows that he can only cheat himself.
J.K. Rowling, Harry Potter and the Prisoner of Azkaban|Right, you've got a crooked sort of cross..." He consulted Unfogging the Future. "That means you're going to have 'trials and suffering' — sorry about that — but there's a thing that could be the sun... hang on... that means 'great happiness'... so you're going to suffer but be very happy...""You need your Inner Eye tested, if you ask me," said Ron, and they both had to stifle their laughs as Professor Trelawney gazed in their direction.
Pom Klementieff|I believe that filmmaking - as, probably, is everything - is a game you should play with all your cards, and all your dice, and whatever else you've got. So, each time I make a movie, I give it everything I have. I think everyone should, and I think everyone should do everything they do that way.
Germany Kent|No one else knows exactly what the future holds for you, no one else knows what obstacles you've overcome to be where you are, so don't expect others to feel as passionate about your dreams as you do.
Scott Stabile|I’m super fucking sensitive. I love this about myself only slightly more than I can’t stand it. Sometimes I wish I were an unfeeling stone who didn’t take everything so personally and didn’t need so much space all the time. Feeling can get exhausting fast. Mostly, though, I know my sensitivity is a superpower, perhaps my greatest, and it’s the thing that keeps me loving our world in a profound way, when I’m not too busy hiding from it, that is.
Jamie Gold|Those whose lives have been an exercise in the pitting of their wits, or the selling of their talents, time and strength, to those who pay the piper, can even in their old age, even with their wits partially gone, automatically practise defences, and appeal for aid. But not so those who have never asked, who have never bargained.
Bill Gates|To combat the confusion and depression that assault me when I come off the road in the middle of a tour, I seek the most oblivionated music possible. When it's the 'way out there' that I seek, I go right to my stash of amazing music from Japan.
Abdulkadir Abdullahi Mohamed Mirre|People believe that Noah's Ark is a legend when we are already apart of this legend, look around what do you see?
Matt D. Miller|If you always attach positive emotions to the things you want, and never attach negative emotions to the things you don't, then that which you desire most will invariably come your way.
Greg Bear, Hull Zero Three|We are all either conditioned by belief system or consciousness. Belief system is built through the world, consciousness is built from within.
Otto de Joux, Die Enterbten des Liebesgliickes. Ein Beitrag zur Seelenkunde|It would be a mistake to suppose that all Urnings must be woman-haters. Quite the contrary. They are not seldom the faithfulest friends, the truest allies, and most convinced defenders of women.
Israelmore Ayivor, The Great Hand Book of Quotes|I got to believe that the people who can really be trusted are those who have kept their promises, not under the influence of pleasing people, but under the influence of doing what they have devoted their lives to be doing!
Ernest Agyemang Yeboah|After you have done a great thing for a great glory, sit and think and understand the journey thereon, for a little mistake can erase a great glory!
Lailah Gifty Akita|Relax, refresh and refocus.
Shannon A. Thompson, November Snow|War makes animals of men, and we can't let that happen to us. If we do, we won't have any chance of survival.
William Ryan, Blaming the Victim|The main difference is that the enlightened believe that the poor criminal should be rehabilitated while the righteous believe that the immoral criminal should be locked up in jail. Since almost the only available system of rehabilitation in America is to be locked up in jail, the difference remains highly abstract.
Ronie Kendig, Crown of Souls|I don't want adventure.""I think you do. I think in a moment of weakness, you might surprise yourself.
Kevin Spacey|I read it a lot, whenever I find it in a library. Partly because I find new things every time I read it, but also because these BOOKS are always there for me. All of them are there for me. My life changes all the time, but books don’t change. My reading of them changes—I can bring new things to them each time. But the words are familiar words. The world is a place you’ve been before, and it welcomes you back.
James Shapiro, Contested Will: Who Wrote Shakespeare?|We've inherited many ideas about writing that emerged in the eighteenth century, especially an interest in literature as both an expression and an exploration of the self. This development  part of what distinguishes the "modern" from the "early modern"  has shaped the work of many of our most celebrated authors, whose personal experiences indelibly and visibly mark their writing. It's fair to say that the fiction and poetry of many of the finest writers of the past century or so  and I'm thinking here of Conrad, Proust, Lawrence, Joyce, Woolf, Kafka, Plath, Ellison, Lowell, Sexton, Roth, and Coetzee, to name but a few  have been deeply autobiographical. The link between the life and the work is one of the things we're curious about and look for when we pick up the latest book by a favorite author.
Floyd Mayweather, Jr.|It's nice to have some continuity you can come back to. I feel that in coming home, coming back to London.
Jennifer Skiff, The Divinity of Dogs: True Stories of Miracles Inspired by Man's Best Friend|You never know the hurt others endure in this world behind the closed windows of their life, or the joy a simple act of kindness can bring.
Patrick Stump|I always speak so highly of my mom because she's my partner in crime, and none of this would be possible without her love and support. Always have to make time for Mom.
Dan Barker, Godless: How an Evangelical Preacher Became One of America's Leading Atheists|—Then, said Cranly, you do not intend to become a protestant?—I said that I had lost the faith, Stephen answered, but not that I had lost self-respect. What kind of liberation would that be to forsake an absurdity which is logical and coherent and to embrace one which is illogical and incoherent?
Gayle D. Erwin, The Yhwh Style|When the mouth cries, I want to see God, the heart has reached its finest moment. Once we have sought and seen God, all other things have a way of finding us.
Margaret Atwood, Murder in the Dark: Short Fictions and Prose Poems|Once she wasn't supposed to like it. To have her in a position she didn't like, that was power. Even if she liked it she had to pretend she didn't. Then she was supposed to like it. To make her do something she didn't like and then make her like it, that was greater power. The greatest power of all is when she doesn't really like it but she's supposed to like it, so she has to pretend.
Saim .A. Cheeda|What was once thought, so it shall become.
Robert M. Pirsig, Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values|To begin with, there is the frightful debauchery of taste that has already been effected by a century of mechanisation. This is almost too obvious and too generally admitted to need pointing out. But as a single instance, take taste in its narrowest sense - the taste for decent food. In the highly mechanical countries, thanks to tinned food, cold storage, synthetic flavouring matters, etc., the palate it almost a dead organ. As you can see by looking at any greengrocer’s shop, what the majority of English people mean by an apple is a lump of highly-coloured cotton wool from America or Australia; they will devour these things, apparently with pleasure, and let the English apples rot under the trees. It is the shiny, standardized, machine-made look of the American apple that appeals to them; the superior taste of the English apple is something they simply do not notice. Or look at the factory-made, foil wrapped cheeses and ‘blended’ butter in an grocer’s; look at the hideous rows of tins which usurp more and more of the space in any food-shop, even a dairy; look at a sixpenny Swiss roll or a twopenny ice-cream; look at the filthy chemical by-product that people will pour down their throats under the name of beer. Wherever you look you will see some slick machine-made article triumphing over the old-fashioned article that still tastes of something other than sawdust. And what applies to food applies also to furniture, houses, clothes, books, amusements and everything else that makes up our environment. These are now millions of people, and they are increasing every year, to whom the blaring of a radio is not only a more acceptable but a more normal background to their thoughts than the lowing of cattle or the song of birds. The mechanisation of the world could never proceed very far while taste, even the taste-buds of the tongue, remained uncorrupted, because in that case most of the products of the machine would be simply unwanted. In a healthy world there would be no demand for tinned food, aspirins, gramophones, gas-pipe chairs, machine guns, daily newspapers, telephones, motor-cars, etc. etc.; and on the other hand there would be a constant demand for the things the machine cannot produce. But meanwhile the machine is here, and its corrupting effects are almost irresistible. One inveighs against it, but one goes on using it. Even a bare-arse savage, given the change, will learn the vices of civilisation within a few months. Mechanisation leads to the decay of taste, the decay of taste leads to demand for machine-made articles and hence to more mechanisation, and so a vicious circle is established.
Jonathan Rottenberg, The Depths: The Evolutionary Origins of the Depression Epidemic|Just as a stressful life can make you depressed, continuing exposure to stressors maintains depression.
Keerthi Singhe, Spirit Flows Power Glows|Memory holds you back, Imagination pushes you forward.
Brooke Nevin|I was home schooled in high school but was definitely the nerd in middle school. I was in three academic clubs, a huge book worm, and the teacher's pet. I was kind of an easy target for bullies.
Hunter S. Thompson, Fear and Loathing in Las Vegas|Drug misuse is not a disease, it is a decision, like the decision to step out in front of a moving car. You would call that not a disease but an error of judgment.
Pauline Melville|If you don't want a man unhappy politically, don't give him two sides of a question to worry him; give him one. Better yet, give him none. Let him forget that their is such a thing as war. If the government if inefficient, top-heavy, and tax-mad, better it be all those than that people worry over it.
Abby Geni, The Lightkeepers|We may never know what another person is thinking--never truly get into anyone else's head--but photography brings us as close as anything can. When the members of an audience at an art gallery look at a picture, they can step for a moment inside the mind of the artist. Like telepathy. Like time travel. At some future date, when people gaze at my photographs of the islands, they will see what I saw. They will stand where I stood, on this granite, surrounded by this ocean. Perhaps they will even feel some of the elation I have experienced here.
Greg Baxter, The Apartment|And yet the feeling of injustice itself turned out to be strangely physical. Even realer, in a way, than a her hurting, smelling, sweating body. Injustice had a shape, an a weight, and a temperature, and a texture, and a very bad taste.
E.C "Teddy Blue" Abbott|A single word indicative of doubt, that any thing, or every thing, in that country is not the very best in the world, produces an effect which must be seen and felt to be understood. If the citizens of the United States were indeed the devoted patriots they call themselves, they would surely not thus encrust themselves in the hard, dry, stubborn persuasion, that they are the first and best of the human race, that nothing is to be learnt, but what they are able to teach, and that nothing is worth having, which they do not possess.
Prince Andrew|I have been called a nun with a switchblade where my privacy is concerned. I think there's a point where one says, that's for family, that's for me.
Harper Lee|The one place where a man ought to get a square deal is in a court-room, be he any colour of the rainbow, but people have way of carrying their resentments right into a jury box.
Helena Lancaster|Well, I definitely advise anyone who wants to write, write. Don’t let anyone tell you that you shouldn’t. Don’t let anyone tell you that you can’t. Because a lot of people can be very discouraging to people who say they want to be a professional writer. If you want to do it, then chase it. Chase your dreams. Follow your heart. If that’s what you want, go after it. Write it out. You never know, you could be the next big thing.
Renae Kaye, Shawn's Law|Plato worried that philosophical writing would take the place of living conversations for which, in philosophy, there is no substitute.
Leonardo Padura, El hombre que amaba a los perros|Communism,” I observed, “is a pile of wank.
A. Ashley Straker, Connected Infection|Raven briefly pondered the phrase, "staring down the barrel of a gun". It wasn't really that accurate, he decided. After all, it was too dark to see any features down a barrel, only a black circle at the end of it.
Debasish Mridha|Whoever you meet in your journey of life, enlighten them with the light of your love and kindness.
Fakeer Ishavardas|Do it or not, but do.
Suzy Kassem, Rise Up and Salute the Sun: The Writings of Suzy Kassem|This is where people misunderstand war. When you attack another country for its resources, you are the pirate. But when you protect your country from the pirates, you are the hero.
Debasish Mridha|To enjoy a stress free life, enjoy what you have-not what you think you deserve.
Sarah Dessen, What Happened to Goodbye|It was kind of soothing, these sounds of lives being lived all around me, for better or for worse. And there I was, in the middle of them all, newly reborn and still waiting for mine to begin.
Tony Burgess, Pontypool Changes Everything|Because different cultures see a particular animal as representing a certain human virtue or vice, the use of animal imagery also allows for more colorful commentary on the human condition.
Dada Bhagwan|One becomes independent (free) from the moment one realizes the principle that, ‘No living being is able to interfere with another living being to the slightest’.
Sam Harris|If you're constantly ruminating about what you just did- or what you should have done- or what you would have done if you only had the chance, you will miss your life. Ok, you will fail to connect with it. You will fail to connect with other people.
Freddie Highmore|Beauty is the only thing that time cannot harm. Philosophies fall away like sand, creeds follow one another, but what is beautiful is a joy for all seasons, a possession for all eternity.
Skyler Samuels|Nowadays people's visual imagination is so much more sophisticated, so much more developed, particularly in young people, that now you can make an image which just slightly suggests something, they can make of it what they will.
Pasi Ilmari Jääskeläinen, The Rabbit Back Literature Society|Even the best cook can’t make chicken soup out of his own feet. There aren’t so terribly many ingredients in anyone’s life, less meat than there is on a sparrow. The average person could come up with at most two good novels. Many who think very highly of themselves can’t manage more than a couple of anecdotes.
Gary Wolf|If your computer speaks English, it was probably made in Japan.
Abraham Lincoln|Let no feeling of discouragement preyupon you, and in the end you are sure to succeed.
Steven Magee|If I am looking for inspiration, then I read the religious scriptures.
Henry Enfield Roscoe|The man attempted to salute and Renius forced himself to smile, biting back his temper at the sloppy manners. He watched the fat figure run away into the buildings and wiped the first beads of sweat from his brow. Strange that such men as that should understand loyalty where so many others threw it aside at the first hint of freedom.
John Steinbeck|And yet, for a writer of fiction, part of the heart remains that of a stranger, for what we are trying to do is to understand those others who are our fictional characters, somehow to gain entrance to their minds and feelings, to respect them for themselves as human individuals, and to portray them as truly as we can. The whole process of fiction is a mysterious one, and a writer, however experienced, remains in some ways a perpetual amateur, or perhaps a perpetual traveller, an explorer of those inner territories, those strange lands of the heart and spirit.
Robert Dallek|We have actually experienced in recent months a dramatic demonstration of an unprecedented intelligence failure, perhaps the most significant intelligence failure in the history of the United States.
Fakeer Ishavardas|There will be no beautiful widow with Persian eyes sitting at your grave. And teary-eyed kids won't be asking: "Papa, papa, can you hear us?
Colleen Hoover, Never Never: Part Three|While he spends all of his time trying to remember, I spend all of my time trying to forget.I don’t want to remember how it feels to love him.I want to forget everything in this world that reminds me of him.
Ace Antonio Hall|Black snowflakes creep down from the sky, advancing slowly, methodically. All the money in the world, which my father seems to have, can’t keep the demons from chasing me ⎯ Aishling Morrighan Delaney, a.k.a. princess of Clan Delaney. Everything is messed up. I’m wearing the “Happy Birthday” sash across my chest that my best friend, Claire, had always insisted I wear for my special day, but this is not that day. My twentieth birthday was over a month ago, on October 31, the night of Samhain, the Celtic New Year’s Eve.This is December 7th, and the Ten Colds Moon is rising. My fate stalks me. Doesn’t look like I’m going to make it to my belated birthday party. I lean into my horse, Kheelan, as he tears across the bracken and bramble moor, and beyond through the amethyst fields of devil’s bit, for a moment outrunning the faerie’s freak show. The spiky shrubs of the moor bite my legs as we attempt to outrun the Fates and the black snow that comes like a gathering sandstorm, trailing me. This princess thing in Ireland can get a girl killed fast, or maybe it’s just me. I am the faerie slayer of the seventh order and the 28th generation, the prophesied Gael Siridean, the Searcher. As such, my head is crowned with a supernatural bounty, and the price is high…The thread of my life frays rapidly, as does the hem of this black velvet medieval-style dress I borrowed from my best friend, Claire. She’s throwing me a themed party this year. If I make it out of this alive tonight, she’s going to kill me for ruining her dress and causing her more worry. Maybe she’ll grant me mercy when she takes in my drenched, haggard appearance with thistle strewn throughout my hair and dark eyeliner no doubt leaving claw marks down my cheeks. I can’t tell her what really happened here tonight. I can’t tell anyone.
Amy Hempel, The Collected Stories| I think of the chimp, the one with the talking hands. In the course of the experiment, that chimp had a baby. Imagine how her trainers must have thrilled when the mother, without prompting, began to sign her newborn. Baby, drink milk. Baby, play ball. And when the baby died, the mother stood over the body, her wrinkled hands moving with animal grace, forming again and again the words: Baby, come hug, Baby come hug, fluent now in the language of grief.
Philip Pullman|There's a hunger for stories in all of us, adults too. We need stories so much that we're even willing to read bad books to get them, if the good books won't supply them.
Herman Koch|Well, fame is a drug and when you take it away from an addict, things can get ugly.
Alamvusha|Death is beautiful, part of life... No, it is sad. It’s sad when anyone dies. Even though every single human dies. So it’s really not that sad.
Craig D. Lounsbrough|Jokes are another example of stupidity... we are so wise and so clever and we do stupid stuff, how wise is that?Jokes on stage of being serious... when you aren't serious what you get is more likely somebody being in state of seriousness.
Pamela Anderson|And in that moment, I felt my own ignorance spread suddenly out behind me like a pair of wings, and every single thing I didn’t know was a feather on those wings. I could feel them tugging at the air, restless to be airborne.
Akilnathan Logeswaran|Don't leave the dream, lead your dreams!
Stanisław Ignacy Witkiewicz, The Madman and the Nun: and Other Plays|The country was a dreamland; and perhaps it even reminded my wife's grandfather of the night he woke up drunk in his friend's house, beside his friend's wife, everything similar but new, different, better. The United States of America was like an eternity of those first disorientating seconds of not knowing and not wanting to.
Carl Jung|There's no place that communicates as much - and as quickly - as Times Square does. I see the roiling energy and its forceful race into the future. Of course, after 15 minutes, I want to get as far away from there as possible.
Chris Wooding, Poison|Once upon a time there was a young lady who lived in a marsh, and her name was Poison.
Dean Ornish|A boxer's diet should be low in fat and high in proteins and sugar. Therefore you should eat plenty of lean meat, milk, leafy vegetables, and fresh fruit and ice cream for sugar.
Ellen F. Davis|Agrarians are committed to preserving both communities and the material means of life, to cultivating practices that ensure that the essential means of life suffice for all members of the present generation and are not diminished for those who come after. Agrarianism in this sense is, and has nearly always been, a marginal culture existing at the edge or under the domination of a larger culture whose ideology, social system, and economy are fundamentally different. So agrarian writers, both ancient and modern, always speak with a vivid awareness of the threat posed by the culture of the powerful.
Jason Gay, Little Victories: Perfect Rules for Imperfect Living|That's the thing about the internet: it doesn't simply help us find the best thing out there; it has helped to produce the idea that there is a best thing, and, if we search hard enough, we can find it.
Timothy B. Tyson, Blood Done Sign My Name: A True Story|If there is to be reconciliation, first there must be truth.
Chris Matakas, The Tao of Jiu Jitsu|But you have to sacrifice yourself for YOURSELF, too.
Alexis Landau, The Empire of the Senses|Anyone young, famous and beautiful who dies young is forever frozen in time and fascinating to all of us.
Paulo Freire, Pedagogy of the Oppressed|In a situation of manipulation, the Left is almost always tempted by a “quick return to power,” forgets the necessity of joining with the oppressed to forge an organization, and strays into an impossible “dialogue” with the dominant elites. It ends by being manipulated by these elites, and not infrequently itself falls in an elitist game, which it calls “realism.”Manipulation, like the conquest whose objectives it serves, attempts to anesthetize the people so they will not think. For if the people join to their presence in the historical process critical thinking about that process, the threat of their emergence materializes in revolution…One of the methods of manipulation is to inoculate individuals with the bourgeois appetite for personal success. This manipulation is sometimes carried out directly by the elites and sometimes indirectly, through populist leaders.
Ludwig von Mises, Economic Freedom and Interventionism|Used to the conditions of a capitalistic environment, the average American takes it for granted that every year business makes something new and better accessible to him. Looking backward upon the years of his own life, he realizes that many implements that were totally unknown in the days of his youth and many others which at that time could be enjoyed only by a small minority are now standard equipment of almost every household. He is fully confident that this trend will prevail also in the future. He simply calls it the American way of life and does not give serious thought to the question of what made this continuous improvement in the supply of material goods possible.
Jennifer McKeithen, Atlantis On the Tides of Destiny|Most people never think beyond their birth. But if I had contented myself with everyone else's opinions of me, I wouldn't be the man I am today. People like us make our own destinies, Gwenwhyfar—and to the waves with the naysayers who oppose us.
William Shakespeare, Romeo and Juliet|Afore me! It is so very late,That we may call it early by and by.
Deborah Eisenberg, The Stories|Stop that Stuart," Patty said as Stuart struggled with the suitcases, which were too heavy for him, she thought. (Almost everything was way too heavy for Stuart.)" Just put those down. Besides," Patty said, "where will you go? You don't have anyplace to go." But Stuart took her hand and held it for a moment against his closed eyes, and despite the many occasions when Patty had wanted him to go, and the several occasions when she had tried to make him go, despite the fact that he was at his most enragingly pathetic, for once she could think of nothing, nothing at all that he could be trying to shame her into or shame her out of, and so it occurred to her that this he would really leave---that he was simply saying good-bye. All along, Patty had been unaware that time is as adhesive as love, and that the more time you spend with someone the greater the likelihood of finding yourself with a permanent sort of thing to deal with that people casually refer to as "friendship," as if that were the end of the matter,when the truth is that even if "your friend" does something annoying, or if you and "your friend" decided that you hate each other, or if "your friend" moves away and you lose each other's address, you still have a friendship, and although it can change shape, look different in different lights, become an embarrassment or an encumbrance or a sorrow, it can't simply cease to have existed, no matter how far into the past it sinks, so attempts to disavow or destroy it will not merely constitute betrayals of friendship but, more practically, are bound to be fruitless, causing damage only to the humans involved rather than to that gummy jungle(friendship)in which those humans have entrapped themselves, so if sometime in the future you're not going to want to have been a particular person's friend, or if you're not going to want to have had that particular friendship you and that person can make with one another, then don't be friends with that person at all, don't talk to that person, don't go anywhere near that person, because as soon as you start to see something from that person's point of view (which, inevitably, will be as soon as you stand next to that person) common ground is sure to slide under your feet.
Randy Johnson|We are at our very best, and we are happiest, when we are fully engaged in work we enjoy on the journey toward the goal we've established for ourselves. It gives meaning to our time off and comfort to our sleep. It makes everything else in life so wonderful, so worthwhile.
E.L. James, Fifty Shades of Grey|Do you trust me Ana?"Ana! "Yes,I do."I respond spontaneously, not thinking...because it's true-I do trust him."Well,then"he looks relieved. "The rest of this stuff is just details""important details
Krista Tippett, Becoming Wise: An Inquiry into the Mystery and Art of Living|My life of conversation leads me to reimagine the very meaning of hope. I define hope as distinct from optimism or idealism. It has nothing to do with wishing. It references reality at every turn and reveres truth. It lives open eyed and wholeheartedly with the darkness that is woven ineluctably into the light of life and sometimes seems to overcome it. Hope, like every virtue, is a choice that becomes a habit that becomes spiritual muscle memory.
Frederick Douglass|In a completely sane world, madness is the only freedom.
Zack Love, Stories and Scripts: an Anthology|You know," she murmured, "we're all heading straight to hell.""Yes," said Masako, giving her a bleak look. "It's like riding downhill with no brakes.""You mean, there's no way to stop?" "No, you stop all right - when you crash.
Cass Sunstein|When history is erased, people's moral values are also erased.
Beeban Kidron|God bless you if you have one child, but I don't think anybody should have just one child. Everybody needs a sibling. I have siblings, and I have so many amazing, precious memories with my siblings. I don't know what I would do if I had been an only child.
Donna George Storey, Amorous Woman|And so I told him how living in Japan would give him a leisure no mere tourist has, to know the rhythms of the place, a land of tiny poems.
Karl Pearson, The Grammar of Science|If the whole world shared such experiences, we would then have common dreams and everybody could begin thinking about tomorrow. And if everybody thinks about tomorrow, then someday we can visit the sky together.
Thomm Quackenbush, Artificial Gods|Healing is about choices—choices to treat or not to treat, tochoose one type of intervention over another, or to choose onemethod of treatment in conjunction with another. One choice does not eliminate all other possibilities.You can choose and choose again. The most importantchoice is the decision to heal; all else follows.
William Banting|I am now in that happy comfortable state that I do not hesitate to indulge in any fancy in regard to diet, but watch the consequences, and do not continue any course which adds to weight or bulk and consequent discomfort.
Sidney Poitier|I think when romantic comedies are done well, it's a great genre. 'When Harry Met Sally' is kind of a benchmark for me, but I'm very happy to admit that I love 'Pretty Woman.' I do! It's a great film, and so is 'Sixteen Candles.' I was a big John Hughes fan - still am. I have moments where I have to watch a Hughes film.
Henry Ward Beecher|There are more quarrels smothered by just shutting your mouth, and holding it shut, than by all the wisdom in the world.
Terry Pratchett, Witches Abroad|Stories have changed, my dear boy,” the man in the grey suit says, his voice almost imperceptibly sad. “There are no more battles between good and evil, no monsters to slay, no maidens in need of rescue. Most maidens are perfectly capable of rescuing themselves in my experience, at least the ones worth something, in any case. There are no longer simple tales with quests and beasts and happy endings. The quests lack clarity of goal or path. The beasts take different forms and are difficult to recognize for what they are. And there are never really endings, happy or otherwise. Things keep overlapping and blur, your story is part of your sister’s story is part of many other stories, and there in no telling where any of them may lead. Good and evil are a great deal more complex than a princess and a dragon, or a wolf and a scarlet-clad little girl. And is not the dragon the hero of his own story? Is not the wolf simply acting as a wolf should act? Though perhaps it is a singular wolf who goes to such lengths as to dress as a grandmother to toy with its prey.
Lailah Gifty Akita, Think Great: Be Great!|With all your heart, reach out to your divine-dreams.
Sōseki Natsume, Kokoro|We long to have again the vanished past, in spite of all its pain.
Will Leamon|I am not angry at Microsoft, as they did give me Windows 10 for free! I do feel a little misled about its reliability on older computers never certified for its installation by the manufacturer though.
Karen Chance, In Vino Veritas|That wasn’t so bad,” I decided, after downing the shot. Maybe I was getting my rhythm. “Because you threw it over your shoulder,” Scarface told me, looking smug. “Did not.” I looked behind me, only to see an outraged vamp with fey wine dripping down his face. “Oops.” “It was for luck,” Ray said defensively, wrapping both my hands around a glass. “Drink!” I drank.
Veronica Hollinger, Blood Read: The Vampire as Metaphor in Contemporary Culture|When you die, your culture takes you in, and then, if you've given enough, your place is near the centre.
Lynda K. Scott, Altered Destiny|The woman trembled, eyes wide as she stared at the bluff. Her teeth pressed against her lower lip hard enough he wouldn’t have been surprised to see blood. Devyn recognized the building hysteria. His chest tightened; he’d seen like expressions all too often and it opened a raw, bleeding hurt in his chest.
Paul Ricœur|Without guilt or remorse, shame was an empty emotion. Indeed, shame would not be shame.
Don Roff|If you schlep a shit job everyday, keep and feed a little secret life--whether it's writing, art, running, music, your thoughts. It's yours.
Joy Sikorski|Memories are strange things. Withough being something I can hold in my hand, they wield a beguiling power over me. Like a mirage in the noontime heat of summer, they dance before my inner eyes and beckon me to find water where there is not water.
Rachel Carson|The more clearly we can focus our attention on the wonders and realities of the universe about us the less taste we shall have for the destruction of our race. Wonder and humility are wholesome emotions, and they do not exist side by side with a lust for destru
Victor Pelevin, The Sacred Book of the Werewolf|There's a scientific hypothesis that every person's name is a primary suggestive command that contains the entire script of their life in highly concentrated form. . . . According to this point of view, there is only a limited number of names, because society only needs a limited number of human types. Just a few models of worker and warrior ants, if I could put it like that. And everybody's psyche is preprogrammed at a basic level by the associative semantic fields that their first name and surname activate.
